station;termin;nat_abbr;dkl010z0;fkl010z0;fkl010z1;fu3010z0;fu3010z1;fve010z0;gre000z0;oli000z0;pp0qffs0;pp0qnhs0;ppz700s0;ppz850s0;prestas0;pva200s0;rre150z0;sre000z0;tde200s0;tre005s0;tre200s0;ure200s0;wcc006s1
75;20230502053000;BAS;208;1.6;2.3;5.8;8.3;1.6;136;292;1022.0;1021.5;;;983.7;10.8;0.0;10;8.1;9.4;9.1;93.5;
75;20230502054000;BAS;214;1.5;2.1;5.4;7.6;1.5;164;291;1021.9;1021.5;;;983.7;11.0;0.0;10;8.3;10.3;9.6;91.7;
75;20230502055000;BAS;218;1.5;2.1;5.4;7.6;1.4;197;291;1022.0;1021.6;;;983.8;11.0;0.0;10;8.4;11.0;9.7;91.6;
75;20230502060000;BAS;219;1.5;2.3;5.4;8.3;1.5;222;289;1022.2;1021.8;;;984.0;11.1;0.0;10;8.5;11.7;9.9;91.1;
75;20230502061000;BAS;211;1.3;1.8;4.7;6.5;1.3;242;287;1022.1;1021.8;;;984.0;11.3;0.0;10;8.8;12.6;10.1;91.6;
75;20230502062000;BAS;204;1.1;2.2;4.0;7.9;1.1;176;285;1022.2;1021.9;;;984.1;11.3;0.0;6;8.7;11.9;10.5;88.7;
75;20230502063000;BAS;210;1.0;2.0;3.6;7.2;1.0;173;286;1022.4;1022.1;;;984.3;11.1;0.0;4;8.5;11.8;10.5;87.5;
75;20230502064000;BAS;220;1.3;2.1;4.7;7.6;1.3;327;286;1022.4;1022.2;;;984.4;11.5;0.0;9;9.1;13.0;11.3;86.1;
75;20230502065000;BAS;230;1.2;1.7;4.3;6.1;1.1;371;283;1022.4;1022.2;;;984.4;11.2;0.0;10;8.7;14.9;11.4;83.5;
75;20230502070000;BAS;247;0.6;1.7;2.2;6.1;0.6;343;284;1022.4;1022.3;;;984.5;11.7;0.0;9;9.3;15.1;11.7;85.2;
75;20230502071000;BAS;303;0.8;1.9;2.9;6.8;0.7;411;284;1022.4;1022.3;;;984.5;11.6;0.0;10;9.2;16.6;12.1;82.2;
75;20230502072000;BAS;277;0.8;1.5;2.9;5.4;0.6;443;284;1022.3;1022.3;;;984.5;11.7;0.0;10;9.3;17.7;12.6;80.5;
75;20230502073000;BAS;285;0.9;1.8;3.2;6.5;0.8;348;283;1022.3;1022.3;;;984.5;11.4;0.0;6;8.9;16.5;12.7;77.6;
75;20230502074000;BAS;320;1.2;2.4;4.3;8.6;1.1;328;286;1022.3;1022.3;;;984.5;11.6;0.0;3;9.2;17.7;12.7;79.3;
75;20230502075000;BAS;307;0.8;2.2;2.9;7.9;0.7;405;291;1022.3;1022.3;;;984.5;10.8;0.0;4;8.1;16.7;12.7;73.7;
75;20230502080000;BAS;250;0.6;2.1;2.2;7.6;0.3;564;288;1022.1;1022.2;;;984.4;11.7;0.0;10;9.3;19.1;13.4;76.0;
75;20230502081000;BAS;301;0.8;2.6;2.9;9.4;0.6;654;304;1022.0;1022.2;;;984.4;11.6;0.0;10;9.1;21.0;13.9;72.9;
75;20230502082000;BAS;294;1.4;3.9;5.0;14.0;1.2;619;314;1022.1;1022.3;;;984.5;11.7;0.0;9;9.2;21.4;14.3;71.6;
75;20230502083000;BAS;351;0.9;1.9;3.2;6.8;0.7;582;300;1022.1;1022.3;;;984.5;11.2;0.0;8;8.6;21.1;14.2;69.2;
75;20230502084000;BAS;328;2.1;4.8;7.6;17.3;1.7;622;299;1022.1;1022.5;;;984.6;10.6;0.0;8;7.8;21.9;14.5;64.2;
75;20230502085000;BAS;314;1.7;3.5;6.1;12.6;1.4;639;299;1022.2;1022.5;;;984.6;10.5;0.0;8;7.7;21.1;14.3;64.7;
75;20230502090000;BAS;14;1.8;5.2;6.5;18.7;1.4;816;311;1022.1;1022.6;;;984.7;11.2;0.0;10;8.6;23.6;15.6;63.1;
75;20230502091000;BAS;330;2.9;6.5;10.4;23.4;2.7;629;327;1022.3;1022.7;;;984.8;10.7;0.0;5;8.0;23.5;14.7;64.0;
75;20230502092000;BAS;358;2.4;4.8;8.6;17.3;2.1;618;301;1022.3;1022.7;;;984.8;10.3;0.0;7;7.5;21.6;14.7;61.9;
75;20230502093000;BAS;354;2.1;7.3;7.6;26.3;1.4;494;305;1022.3;1022.7;;;984.8;10.5;0.0;4;7.7;20.9;14.9;62.2;
75;20230502094000;BAS;5;2.2;4.9;7.9;17.6;1.8;657;328;1022.3;1022.8;;;984.9;11.3;0.0;6;8.8;22.3;15.4;64.8;
75;20230502095000;BAS;327;1.9;4.8;6.8;17.3;1.4;608;316;1022.3;1022.8;;;984.9;11.2;0.0;5;8.6;21.4;15.4;63.8;
75;20230502100000;BAS;336;2.7;6.6;9.7;23.8;2.4;336;326;1022.3;1022.7;;;984.8;11.0;0.0;0;8.4;20.3;14.8;65.3;
