station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20201005000000;UEB;-6.2;37.8;81.0;72;40;6.5;5.2;8.1;85.5
392;20201006000000;UEB;-6.9;48.2;88.9;87;85;8.0;6.0;10.7;82.3
392;20201007000000;UEB;-5.7;40.7;79.9;59;22;6.7;5.8;8.0;91.2
392;20201008000000;UEB;-3.9;25.6;45.7;161;398;9.2;6.3;12.2;79.8
392;20201009000000;UEB;-2.3;20.2;40.0;153;368;10.6;9.4;12.9;87.1
392;20201010000000;UEB;-1.6;23.4;52.6;34;0;6.7;3.9;10.3;92.2
392;20201011000000;UEB;1.7;11.2;29.2;86;152;3.5;2.4;4.6;84.9
392;20201012000000;UEB;-0.1;7.9;22.3;66;3;3.0;1.9;4.1;86.6
392;20201013000000;UEB;1.2;17.3;38.9;127;342;3.7;2.1;5.5;80.4
392;20201014000000;UEB;3.7;30.2;52.6;155;390;3.1;0.8;5.5;84.0
392;20201015000000;UEB;3.3;26.3;45.7;22;0;2.4;1.8;3.1;95.6
392;20201016000000;UEB;1.8;14.8;37.4;44;0;4.1;2.8;5.2;97.2
392;20201017000000;UEB;1.7;14.4;34.9;68;19;3.9;2.8;4.5;88.7
392;20201018000000;UEB;0.8;5.4;12.6;91;40;4.6;3.2;5.6;79.3
392;20201019000000;UEB;-1.1;7.9;27.0;140;456;6.5;3.8;10.1;71.0
392;20201020000000;UEB;-4.1;30.2;67.3;118;181;10.5;6.9;14.0;49.5
392;20201021000000;UEB;-2.2;12.2;36.4;53;26;14.3;11.9;17.2;38.4
392;20201022000000;UEB;-2.7;17.6;61.2;95;145;13.8;11.2;16.4;54.8
392;20201023000000;UEB;-5.0;25.9;58.0;20;0;10.4;8.2;12.2;88.6
392;20201024000000;UEB;-3.8;22.7;61.2;100;262;8.7;7.5;10.4;87.3
392;20201025000000;UEB;-2.4;16.2;51.8;137;480;10.6;6.9;13.1;60.5
392;20201026000000;UEB;-3.4;31.3;57.2;12;0;3.3;0.8;10.9;93.8
392;20201027000000;UEB;-4.5;27.4;60.1;88;126;4.2;2.5;6.0;85.7
392;20201028000000;UEB;-6.6;39.2;69.1;63;131;6.8;4.5;8.9;83.0
392;20201029000000;UEB;-6.5;46.4;77.4;19;0;7.3;6.4;8.2;93.3
392;20201030000000;UEB;-3.9;23.4;55.1;121;374;8.8;7.3;11.3;86.5
392;20201031000000;UEB;-3.7;24.1;46.8;141;524;12.6;10.3;15.8;54.7
392;20201101000000;UEB;-6.7;42.1;79.2;39;1;12.0;10.0;14.7;68.4
392;20201102000000;UEB;-5.2;33.1;63.4;113;384;14.6;12.6;16.8;67.2
392;20201103000000;UEB;0.8;20.9;48.6;25;1;8.2;4.4;13.8;91.4
392;20201104000000;UEB;4.6;30.6;54.0;21;0;3.1;2.2;4.9;96.7
392;20201105000000;UEB;2.8;27.4;44.3;28;0;4.1;2.8;5.1;98.0
392;20201106000000;UEB;-0.9;13.0;39.6;64;135;5.9;3.1;12.5;85.7
392;20201107000000;UEB;-1.8;12.2;38.5;111;402;14.7;8.7;17.5;29.2
392;20201108000000;UEB;-1.4;11.9;34.9;89;178;11.2;9.4;16.9;51.9
392;20201109000000;UEB;-1.0;11.5;23.4;114;539;11.1;9.2;12.5;60.6
