station;termin;nat_abbr;fn1towd0;fu3towd0;fu3towd1;gre000d0;sre000d0;ta1towd0;ta1towdn;ta1towdx;uretowd0
392;20230123000000;UEB;4.9;47.5;75.6;10;0;-4.5;-6.7;-2.4;90.3
392;20230124000000;UEB;3.3;36.7;75.2;21;0;-2.6;-3.3;-1.8;92.2
392;20230125000000;UEB;1.9;23.4;46.1;23;0;-3.0;-4.7;-2.1;93.9
392;20230126000000;UEB;1.9;13.3;31.0;16;0;-4.9;-5.6;-1.6;96.5
392;20230127000000;UEB;3.9;31.0;54.4;14;0;-5.1;-5.7;-3.3;92.2
392;20230128000000;UEB;4.5;36.4;56.9;19;0;-4.5;-5.2;-3.9;88.2
392;20230129000000;UEB;-0.3;22.0;52.6;33;0;-4.8;-5.3;-4.4;85.8
392;20230130000000;UEB;-4.2;34.9;51.5;86;224;-3.4;-6.2;-0.9;88.3
392;20230131000000;UEB;-3.1;24.8;52.9;78;168;-1.3;-2.5;0.1;85.4
392;20230201000000;UEB;-5.9;44.6;68.0;63;92;-0.3;-1.6;1.0;80.5
392;20230202000000;UEB;-5.1;41.4;65.5;30;0;0.6;-1.0;2.1;82.4
392;20230203000000;UEB;-5.0;36.0;53.6;76;113;1.2;-0.1;2.4;79.0
392;20230204000000;UEB;-0.1;23.0;50.4;32;0;1.9;0.8;2.8;89.1
392;20230205000000;UEB;1.2;22.0;45.7;46;16;-0.1;-1.6;0.9;82.7
392;20230206000000;UEB;4.0;32.8;59.8;46;23;-3.0;-5.7;-1.4;90.4
392;20230207000000;UEB;2.6;28.8;60.5;137;548;-4.8;-6.8;-0.7;84.6
392;20230208000000;UEB;1.3;18.7;45.4;56;82;-6.4;-8.4;-3.9;87.7
392;20230209000000;UEB;-3.1;21.2;41.8;137;546;-2.1;-4.3;-0.4;67.8
392;20230210000000;UEB;-0.4;5.0;16.2;140;534;-1.0;-2.6;0.7;63.4
392;20230211000000;UEB;0.6;9.0;34.2;122;434;2.8;-0.3;6.3;36.1
392;20230212000000;UEB;2.6;30.2;60.8;141;552;2.2;-0.1;4.1;69.0
392;20230213000000;UEB;-2.1;12.6;27.7;153;578;6.2;1.4;9.6;45.4
392;20230214000000;UEB;-1.7;9.7;24.8;154;584;7.9;6.2;10.2;31.1
